raw_text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
깔끔하게 20만원가고 대량구매기회나 줘라,깔끔하게 20만원가고 대량구매기회나 줘라,깔끔하게 20만원가고 대량구매기회나 줘라,2024-03-05T01:02:22+09:00,0.0972,0.6782,0.2246,1
매수기회 아닌가요? 엊그제 사놓고 돈이 없어서 더는 못사는데 돈있음 더 사고픈..,매수기회 아닌가요 엊그제 사놓고 돈이 없어서 더는 못사는데 돈있음 더 사고픈,매수기회 아닌가요? 엊그제 사놓고 돈이 없어서 더는 못사는데 돈있음 더 사고픈..,2023-09-19T18:50:18+09:00,0.4487,0.2186,0.3327,0
"설마 출시하락부터 두달못버틴 사람이 있는건아니겠지
이제한달남았다",설마 출시하락부터 두달못버틴 사람이 있는건아니겠지 이제한달남았다,설마 출시하락부터 두달못버틴 사람이 있는건아니겠지 이제한달남았다,2023-10-12T13:58:05+09:00,0.2035,0.5816,0.2149,1
이유는 없음,이유는 없음,이유는 없음,2024-02-03T02:17:25+09:00,0.0391,0.9324,0.0285,1
환전해놨다.  이따 밤에 보자 울 애플이!,환전해놨다 이따 밤에 보자 울 애플이,환전해놨다. 이따 밤에 보자 울 애플이!,2023-11-03T16:19:57+09:00,0.2064,0.4684,0.3253,1
그저 웃지요 …,그저 웃지요,그저 웃지요,2024-07-11T12:48:10+09:00,0.0215,0.9503,0.0282,1
감을 못 잡겠네,감을 못 잡겠네,감을 못 잡겠네,2024-11-01T08:23:06+09:00,0.0484,0.9226,0.029,1
올라주니~?,올라주니,올라주니?,2025-01-23T22:59:33+09:00,0.1645,0.3002,0.5354,2
"24% 수익 중이에요..

팔고 재진입보다 
적절할 때 추가매수하는게 더 나은 건가요?
항상 다들 후자를 권하시길래 
안팔고 있다가 주가가 떨어지면 너무 마음아픈거 같아요,,",24 수익 중이에요 팔고 재진입보다 적절할 때 추가매수하는게 더 나은 건가요 항상 다들 후자를 권하시길래 안팔고 있다가 주가가 떨어지면 너무 마음아픈거 같아요,"24 수익 중이에요.. 팔고 재진입보다 적절할 때 추가매수하는게 더 나은 건가요? 항상 다들 후자를 권하시길래 안팔고 있다가 주가가 떨어지면 너무 마음아픈거 같아요,,",2024-09-24T22:34:44+09:00,0.4284,0.1927,0.379,0
.,,.,2023-05-24T17:19:26+09:00,0.0174,0.9668,0.0158,1
뀨,뀨,뀨,2024-06-14T21:59:34+09:00,0.0233,0.9541,0.0226,1
"제발 더 올라줘 ...❤️
나락은 락이 아니야 ... 지옥이지",제발 더 올라줘 나락은 락이 아니야 지옥이지,제발 더 올라줘 ... 나락은 락이 아니야 ... 지옥이지,2024-04-01T14:17:46+09:00,0.3942,0.1648,0.4411,2
팔고 에셈피에 박는 게 더 이득,팔고 에셈피에 박는 게 더 이득,팔고 에셈피에 박는 게 더 이득,2024-03-26T20:40:02+09:00,0.2857,0.4817,0.2326,1
퀄컴 매출상회다 너는 묻어서 같이안가냐 *_*,퀄컴 매출상회다 너는 묻어서 같이안가냐,퀄컴 매출상회다 너는 묻어서 같이안가냐 _,2024-11-07T06:02:34+09:00,0.0863,0.7634,0.1503,1
다들 메타로 이사 오세요ㅋㅋ급등중입니다,다들 메타로 이사 오세요급등중입니다,다들 메타로 이사 오세요ㅋㅋ급등중입니다,2024-05-03T23:04:51+09:00,0.2488,0.2334,0.5178,2
잠깐 익절후 다시옴,잠깐 익절후 다시옴,잠깐 익절후 다시옴,2023-11-13T11:00:02+09:00,0.2073,0.3235,0.4692,2
온다!!,온다,온다!!,2024-05-07T23:17:56+09:00,0.0302,0.8927,0.077,1
I want to have red apple please,I want to have red apple please,I want to have red apple please,2023-04-18T16:12:06+09:00,0.0211,0.943,0.0358,1
220 무너지겟네,220 무너지겟네,220 무너지겟네,2025-01-21T23:45:04+09:00,0.0503,0.8802,0.0695,1
중국이애플못사게한다고이리떨어진다고?,중국이애플못사게한다고이리떨어진다고,중국이애플못사게한다고이리떨어진다고?,2023-09-07T22:14:35+09:00,0.2388,0.5191,0.2421,1
금방 다시 복구 되는구먼,금방 다시 복구 되는구먼,금방 다시 복구 되는구먼,2025-02-14T03:38:00+09:00,0.0326,0.905,0.0624,1
애플 삼전에 묶여있는 난 바보..,애플 삼전에 묶여있는 난 바보,애플 삼전에 묶여있는 난 바보..,2025-01-22T23:31:38+09:00,0.0689,0.882,0.0491,1
더 잃기전에 나갑니다..,더 잃기전에 나갑니다,더 잃기전에 나갑니다..,2024-08-02T21:45:58+09:00,0.0977,0.7121,0.1902,1
🍎🍏,,,2025-01-29T00:19:09+09:00,0.0193,0.9635,0.0171,1
애프리 싸게 산사람들이 젤 부럽다….,애프리 싸게 산사람들이 젤 부럽다,애프리 싸게 산사람들이 젤 부럽다.,2025-02-06T18:47:59+09:00,0.0683,0.7737,0.158,1
"☆참고 

새로운 iPhone 16 Pro와 Pro Max 의 대기 시간이 줄어들고 있다는 사실이 수요 감소를 나타내며 ""점점 더 우려스러운"" 일이라고 생각합니다.  

분석가들은 2023년 공급망 왜곡을 감안하더라도 대기 시간은 작년에 출시된 iPhone 15 라인업보다 훨씬 짧다고 강조했습니다.

미국에서 iPhone 16 Pro Max의 대기 시간은 24일인 반면 15 Pro Max는 42일입니다. 반면 16 Pro 모델의 대기 시간은 19일인 반면 15 Pro의 대기 시간은 30일입니다.

분석가들은 ""지난 7일간 수요 변화의 대리 지표로 가장 큰 스마트폰 시장인 미국에서 대기 시간을 활용하면 2020년 최초의 5G 지원 iPhone이 출시된 이후로 고급 기기를 그 어느 때보다 더 쉽게 구할 수 있다는 것을 알 수 있습니다.""라고 관찰했습니다.

""또한, 이전 4번의 출시에서 Pro Max의 대기 시간은 출시 후 증가했지만, 16번의 Pro Max에서는 약 24일로 지속적으로 감소했습니다.""

중국에서 iPhone 16 Max의 대기 시간은 18일인 반면 15 Pro Max의 대기 시간은 39일이고, 16 Plus의 대기 시간은 15 Plus의 11일에서 9일로 줄었습니다.

UBS 분석가들은 ""일반적으로 출시 주기의 이 시점에서 수요가 어느 정도 안정을 유지함에 따라 하이엔드 대기 시간이 순차적으로 증가했습니다.""라고 적었습니다. 

""그러나 미국에서 하이엔드 16인치(Pro 및 Pro Max)의 대기 시간은 하이엔드 14인치 및 15인치의 대기 시간만큼 눈에 띄게 증가하지 않았습니다.""",참고 새로운 iPhone 16 Pro와 Pro Max 의 대기 시간이 줄어들고 있다는 사실이 수요 감소를 나타내며 점점 더 우려스러운 일이라고 생각합니다 분석가들은 2023년 공급망 왜곡을 감안하더라도 대기 시간은 작년에 출시된 iPhone 15 라인업보다 훨씬 짧다고 강조했습니다 미국에서 iPhone 16 Pro Max의 대기 시간은 24일인 반면 15 Pro Max는 42일입니다 반면 16 Pro 모델의 대기 시간은 19일인 반면 15 Pro의 대기 시간은 30일입니다 분석가들은 지난 7일간 수요 변화의 대리 지표로 가장 큰 스마트폰 시장인 미국에서 대기 시간을 활용하면 2020년 최초의 5G 지원 iPhone이 출시된 이후로 고급 기기를 그 어느 때보다 더 쉽게 구할 수 있다는 것을 알 수 있습니다라고 관찰했습니다 또한 이전 4번의 출시에서 Pro Max의 대기 시간은 출시 후 증가했지만 16번의 Pro Max에서는 약 24일로 지속적으로 감소했습니다 중국에서 iPhone 16 Max의 대기 시간은 18일인 반면 15 Pro Max의 대기 시간은 39일이고 16 Plus의 대기 시간은 15 Plus의 11일에서 9일로 줄었습니다 UBS 분석가들은 일반적으로 출시 주기의 이 시점에서 수요가 어느 정도 안정을 유지함에 따라 하이엔드 대기 시간이 순차적으로 증가했습니다라고 적었습니다 그러나 미국에서 하이엔드 16인치Pro 및 Pro Max의 대기 시간은 하이엔드 14인치 및 15인치의 대기 시간만큼 눈에 띄게 증가하지 않았습니다,"참고 새로운 iPhone 16 Pro와 Pro Max 의 대기 시간이 줄어들고 있다는 사실이 수요 감소를 나타내며 점점 더 우려스러운 일이라고 생각합니다. 분석가들은 2023년 공급망 왜곡을 감안하더라도 대기 시간은 작년에 출시된 iPhone 15 라인업보다 훨씬 짧다고 강조했습니다. 미국에서 iPhone 16 Pro Max의 대기 시간은 24일인 반면 15 Pro Max는 42일입니다. 반면 16 Pro 모델의 대기 시간은 19일인 반면 15 Pro의 대기 시간은 30일입니다. 분석가들은 지난 7일간 수요 변화의 대리 지표로 가장 큰 스마트폰 시장인 미국에서 대기 시간을 활용하면 2020년 최초의 5G 지원 iPhone이 출시된 이후로 고급 기기를 그 어느 때보다 더 쉽게 구할 수 있다는 것을 알 수 있습니다.라고 관찰했습니다. 또한, 이전 4번의 출시에서 Pro Max의 대기 시간은 출시 후 증가했지만, 16번의 Pro Max에서는 약 24일로 지속적으로 감소했습니다. 중국에서 iPhone 16 Max의 대기 시간은 18일인 반면 15 Pro Max의 대기 시간은 39일이고, 16 Plus의 대기 시간은 15 Plus의 11일에서 9일로 줄었습니다. UBS 분석가들은 일반적으로 출시 주기의 이 시점에서 수요가 어느 정도 안정을 유지함에 따라 하이엔드 대기 시간이 순차적으로 증가했습니다.라고 적었습니다. 그러나 미국에서 하이엔드 16인치Pro 및 Pro Max의 대기 시간은 하이엔드 14인치 및 15인치의 대기 시간만큼 눈에 띄게 증가하지 않았습니다.",2024-09-26T08:37:15+09:00,0.1903,0.3403,0.4694,2
오늘 엔비 떨어지는 그래프면 애플은 오르네,오늘 엔비 떨어지는 그래프면 애플은 오르네,오늘 엔비 떨어지는 그래프면 애플은 오르네,2025-01-28T00:29:43+09:00,0.1074,0.5663,0.3263,1
지금 사는거 좋나요? 소수점으로,지금 사는거 좋나요 소수점으로,지금 사는거 좋나요? 소수점으로,2024-07-11T22:49:00+09:00,0.0488,0.8787,0.0726,1
진짜 요즘 실적 다들 좋은데 ㅠ 다 떨어지네,진짜 요즘 실적 다들 좋은데 다 떨어지네,진짜 요즘 실적 다들 좋은데 ㅠ 다 떨어지네,2024-08-02T09:26:38+09:00,0.1346,0.5235,0.3418,1
애플이야 나 속상해🥹,애플이야 나 속상해,애플이야 나 속상해,2024-02-15T18:53:03+09:00,0.0284,0.9477,0.0239,1
맛있다 ㅋㅋ,맛있다,맛있다 ㅋㅋ,2024-10-21T19:12:08+09:00,0.0265,0.9067,0.0668,1
굿,굿,굿,2025-01-29T01:14:35+09:00,0.0227,0.916,0.0613,1
이제 살았네,이제 살았네,이제 살았네,2024-06-18T02:37:31+09:00,0.0223,0.9514,0.0262,1
애플 넌 마이너스만 복구되면 바로 뺀다 ㅋㅋ,애플 넌 마이너스만 복구되면 바로 뺀다,애플 넌 마이너스만 복구되면 바로 뺀다 ㅋㅋ,2024-02-22T13:44:50+09:00,0.0559,0.8878,0.0563,1
ㄱㄱ,,ㄱㄱ,2024-02-09T10:06:34+09:00,0.0284,0.927,0.0446,1
간보며 추매했더니 오늘이 더싸네,간보며 추매했더니 오늘이 더싸네,간보며 추매했더니 오늘이 더싸네,2024-10-02T18:57:43+09:00,0.8395,0.0923,0.0682,0
애플 맛있다 야무져 ㅎㅎ,애플 맛있다 야무져,애플 맛있다 야무져 ㅎㅎ,2023-04-14T04:49:36+09:00,0.0475,0.8736,0.0789,1
매일 매수하다보니 -2퍼 까지 왔음 그냥 물리고 말고 할게 없네요 결국 돌아옵니다,매일 매수하다보니 2퍼 까지 왔음 그냥 물리고 말고 할게 없네요 결국 돌아옵니다,매일 매수하다보니 2퍼 까지 왔음 그냥 물리고 말고 할게 없네요 결국 돌아옵니다,2025-01-28T15:32:31+09:00,0.3421,0.225,0.4329,2
시총1위!,시총1위,시총1위!,2025-01-08T23:44:57+09:00,0.0449,0.8209,0.1342,1
애플걱정...연예인걱정...?,애플걱정연예인걱정,애플걱정...연예인걱정...?,2025-02-20T12:31:01+09:00,0.0402,0.9201,0.0397,1
아 눈물난다 몇달만에 빨간숫자냐 흑흑,아 눈물난다 몇달만에 빨간숫자냐 흑흑,아 눈물난다 몇달만에 빨간숫자냐 흑흑,2024-03-18T14:57:38+09:00,0.0789,0.7904,0.1306,1
몰라 걍 질렀어. 난 너만 믿는다,몰라 걍 질렀어 난 너만 믿는다,몰라 걍 질렀어. 난 너만 믿는다,2024-09-10T01:52:55+09:00,0.0346,0.9374,0.0281,1
12일까지..오르겠다,12일까지오르겠다,12일까지..오르겠다,2023-08-30T11:37:54+09:00,0.0781,0.6596,0.2623,1
원화 계산 이상하게하네 왜 환전일 기준이아니라 주식 구매일 기준 환율로 원 환산해주는거야;;,원화 계산 이상하게하네 왜 환전일 기준이아니라 주식 구매일 기준 환율로 원 환산해주는거야,원화 계산 이상하게하네 왜 환전일 기준이아니라 주식 구매일 기준 환율로 원 환산해주는거야,2023-11-20T14:44:40+09:00,0.2251,0.5638,0.211,1
"달콤한 사과인줄 알고 담았더니
내가 주은건 독 사과 였다..",달콤한 사과인줄 알고 담았더니 내가 주은건 독 사과 였다,달콤한 사과인줄 알고 담았더니 내가 주은건 독 사과 였다..,2025-01-17T19:31:00+09:00,0.109,0.7205,0.1705,1
애플 힘내자~,애플 힘내자,애플 힘내자,2023-04-12T22:47:12+09:00,0.0256,0.9079,0.0666,1
야 임마 너 애플이다,야 임마 너 애플이다,야 임마 너 애플이다,2024-03-05T01:01:23+09:00,0.0294,0.9413,0.0293,1
오늘 시총 1위 탈환 가즈아,오늘 시총 1위 탈환 가즈아,오늘 시총 1위 탈환 가즈아,2024-06-12T00:36:26+09:00,0.122,0.2798,0.5981,2
반도체 조지고 지수 하락할 듯. 이럴 때는 지수 인버스인 애플을 사야하나,반도체 조지고 지수 하락할 듯 이럴 때는 지수 인버스인 애플을 사야하나,반도체 조지고 지수 하락할 듯. 이럴 때는 지수 인버스인 애플을 사야하나,2024-04-17T15:05:56+09:00,0.2287,0.1937,0.5776,2
.,,.,2025-03-26T18:37:19+09:00,0.0174,0.9668,0.0158,1
나 애플이야~^^,나 애플이야,나 애플이야,2024-07-13T00:01:22+09:00,0.0244,0.9503,0.0253,1
어제 너무 떨어저서 오늘 좀 오르나,어제 너무 떨어저서 오늘 좀 오르나,어제 너무 떨어저서 오늘 좀 오르나,2025-01-22T23:36:30+09:00,0.1201,0.6113,0.2685,1
꾸준매,꾸준매,꾸준매,2024-09-11T08:08:52+09:00,0.5435,0.3045,0.152,0
역시 다른 곳(제나테크) 가서 쳐맞고 와서 따스히 안아줄 친정이 있어 기쁘네요. 애플은 미래 가치가 조금 불안정 하다 할지라도 든든한 친정과 같습니다. 여러분,역시 다른 곳제나테크 가서 쳐맞고 와서 따스히 안아줄 친정이 있어 기쁘네요 애플은 미래 가치가 조금 불안정 하다 할지라도 든든한 친정과 같습니다 여러분,역시 다른 곳제나테크 가서 쳐맞고 와서 따스히 안아줄 친정이 있어 기쁘네요. 애플은 미래 가치가 조금 불안정 하다 할지라도 든든한 친정과 같습니다. 여러분,2024-12-05T19:38:46+09:00,0.2324,0.5484,0.2192,1
더 주워 말어;;,더 주워 말어,더 주워 말어,2025-03-12T23:34:17+09:00,0.0521,0.9047,0.0432,1
짜릿해,짜릿해,짜릿해,2025-01-27T23:32:35+09:00,0.0388,0.9274,0.0338,1
"역시....
이쁜 애플",역시 이쁜 애플,역시.... 이쁜 애플,2024-10-08T22:39:43+09:00,0.0178,0.9559,0.0263,1
"(한국예탁결제원 발표기준, 서학개미 상위 거래량 5위 안에 항상 들어가는 아주 대중적인 주식인 “애플”의 게시판에 남길 내용은 아닌 것 같지만 ㅎㅎ)

유튜버들의 찌라시에 가까운 소식을 듣고나선
본인의 생각을 뒷받침하는 논리로 짜집기해서 투자하는 것보단, 잘 들여다보고 스스로 생각해보는 투자가 여러모로 중요한 것 같아요.
(for your mental health & bank account)

저는 요 정도 기준으로 투자하면 마음이 편하고 투자 성과도 좋은 것 같더라구요.

- 파운더가 여전히 강한 컨빅션을 갖고 경영하는 기업인지
- 실제 해당 기업의 프로덕트 사용자들 만나서 얻는 가치에 대한 의견 들어보기. 당장 내일 없어지면 절대 안된다고 대답하는 프로덕트인지.
- 비대칭적인 비즈니스 활동을 하는 기업인지
- 위에 해당되는지 잘 모르겠으나, 이 기업은 그냥 사고 싶은 마음이 생긴다면 최소한, 거인들의 어깨에 타기 (개인적으론 가장 비 선호하는 기준)",한국예탁결제원 발표기준 서학개미 상위 거래량 5위 안에 항상 들어가는 아주 대중적인 주식인 애플의 게시판에 남길 내용은 아닌 것 같지만 유튜버들의 찌라시에 가까운 소식을 듣고나선 본인의 생각을 뒷받침하는 논리로 짜집기해서 투자하는 것보단 잘 들여다보고 스스로 생각해보는 투자가 여러모로 중요한 것 같아요 for your mental health bank account 저는 요 정도 기준으로 투자하면 마음이 편하고 투자 성과도 좋은 것 같더라구요 파운더가 여전히 강한 컨빅션을 갖고 경영하는 기업인지 실제 해당 기업의 프로덕트 사용자들 만나서 얻는 가치에 대한 의견 들어보기 당장 내일 없어지면 절대 안된다고 대답하는 프로덕트인지 비대칭적인 비즈니스 활동을 하는 기업인지 위에 해당되는지 잘 모르겠으나 이 기업은 그냥 사고 싶은 마음이 생긴다면 최소한 거인들의 어깨에 타기 개인적으론 가장 비 선호하는 기준,"한국예탁결제원 발표기준, 서학개미 상위 거래량 5위 안에 항상 들어가는 아주 대중적인 주식인 애플의 게시판에 남길 내용은 아닌 것 같지만 ㅎㅎ 유튜버들의 찌라시에 가까운 소식을 듣고나선 본인의 생각을 뒷받침하는 논리로 짜집기해서 투자하는 것보단, 잘 들여다보고 스스로 생각해보는 투자가 여러모로 중요한 것 같아요. for your mental health bank account 저는 요 정도 기준으로 투자하면 마음이 편하고 투자 성과도 좋은 것 같더라구요. 파운더가 여전히 강한 컨빅션을 갖고 경영하는 기업인지 실제 해당 기업의 프로덕트 사용자들 만나서 얻는 가치에 대한 의견 들어보기. 당장 내일 없어지면 절대 안된다고 대답하는 프로덕트인지. 비대칭적인 비즈니스 활동을 하는 기업인지 위에 해당되는지 잘 모르겠으나, 이 기업은 그냥 사고 싶은 마음이 생긴다면 최소한, 거인들의 어깨에 타기 개인적으론 가장 비 선호하는 기준",2024-03-01T14:51:12+09:00,0.1747,0.3254,0.4999,2
살짝 설렜냐,살짝 설렜냐,살짝 설렜냐,2025-03-26T21:39:18+09:00,0.0249,0.9507,0.0244,1
내가 애플힙이라서....,내가 애플힙이라서,내가 애플힙이라서....,2023-11-07T00:14:54+09:00,0.0241,0.9572,0.0187,1
어차피 올해안에 200찍는데 왜 징징대는거지? 평단 180에 들어가나 160에 들어가나 연말에 돈복제되는건 팩튼데 물타기나하지 왜 개미들 불안해지게 선동하노? 뇌빼고 풀시드 꽂아놓고 징징대는거면 주식 접는게 좋을거같다 ㅋㅋ,어차피 올해안에 200찍는데 왜 징징대는거지 평단 180에 들어가나 160에 들어가나 연말에 돈복제되는건 팩튼데 물타기나하지 왜 개미들 불안해지게 선동하노 뇌빼고 풀시드 꽂아놓고 징징대는거면 주식 접는게 좋을거같다,어차피 올해안에 200찍는데 왜 징징대는거지? 평단 180에 들어가나 160에 들어가나 연말에 돈복제되는건 팩튼데 물타기나하지 왜 개미들 불안해지게 선동하노? 뇌빼고 풀시드 꽂아놓고 징징대는거면 주식 접는게 좋을거같다 ㅋㅋ,2023-08-08T03:09:16+09:00,0.2823,0.4546,0.2631,1
그냥,그냥,그냥,2023-09-08T11:59:47+09:00,0.022,0.9589,0.0191,1
요샌 시장이 개판이라 그냥 기업자체 호재 악재는 아무런 의미가 없네,요샌 시장이 개판이라 그냥 기업자체 호재 악재는 아무런 의미가 없네,요샌 시장이 개판이라 그냥 기업자체 호재 악재는 아무런 의미가 없네,2025-03-04T23:02:24+09:00,0.204,0.4499,0.346,1
비전프로 썬글라스 크기로 나오면 주가 50가냐!!!,비전프로 썬글라스 크기로 나오면 주가 50가냐,비전프로 썬글라스 크기로 나오면 주가 50가냐!!!,2024-06-02T23:29:35+09:00,0.0948,0.6112,0.294,1
"애플에게 불길한 시기가 다가오고 있습니까? 아니면 바닥을 치고 있습니까?분석가들의 의견이 다릅니다

Apple(나스닥:AAPL)은 불길한 역풍에 직면해 있다고, Monness, Crrespi, Hardt는 전했습니다.하지만 뱅크 오브 아메리카는 이에 동의하지 않습니다.

11월 2일 1분기 실적을 발표할 예정인 이 거대 기술 기업은 더 엄격한 규제 조건에 직면해 있으며 지정학적 문제로 인해 부수적인 피해를 입을 위험이 있다고 하르트는 말했습니다.

브라이언 화이트 애널리스트는 투자자 노트에 ""악성 인플레이션에 시달리는 압도적인 경제, 대담해진 화웨이, 점증적인 업데이트만 있는 새로운 아이폰 제품군, 스마트폰 시장의 성숙이 아이폰 트렌드에 암울한 그림을 그리고 있다""고 썼습니다.

그는 아이폰 15 사이클에 대해 208달러의 가격 목표를 가진 주식에 대해 매수 등급을 가지고 있지만 ""영감을 주지 않는다""고 말했습니다.

뱅크오브아메리카는 애플(AAPL)에 대해 주식 중립 등급을 매기지만 동일한 가격 목표를 제시하고 있습니다.

회사 측은 매출과 주당 순이익 추정치가 바닥을 친 것으로 보고 있습니다.

Wamsi Mohan이 이끄는 분석가들은 ""우리는 대규모 경기 침체를 막는 더 이상의 중대한 부정적인 수정을 기대하지 않는다""고 썼습니다.은행은 애플(AAPL)의 9월 제품 출시의 긍정적인 점이 소비자 수요 추세의 약화로 상쇄됐다며 중립 등급을 재차 강조했습니다.

은행은 최근 데이터 포인트가 아이폰 15 시리즈의 가용성이 크게 향상되었음을 나타내며 ""지금까지 데이터는 아이폰 15 대 아이폰 14의 사이클이 약간 더 강했음을 시사한다""고 말했습니다.

Bank of America는 라이선스, 서브스크립션 및 앱스토어가 9월 분기 대비 12% 증가한 것으로 보고 있습니다.

애플(AAPL)의 주가는 전년 대비 38% 상승했습니다.",애플에게 불길한 시기가 다가오고 있습니까 아니면 바닥을 치고 있습니까분석가들의 의견이 다릅니다 Apple나스닥AAPL은 불길한 역풍에 직면해 있다고 Monness Crrespi Hardt는 전했습니다하지만 뱅크 오브 아메리카는 이에 동의하지 않습니다 11월 2일 1분기 실적을 발표할 예정인 이 거대 기술 기업은 더 엄격한 규제 조건에 직면해 있으며 지정학적 문제로 인해 부수적인 피해를 입을 위험이 있다고 하르트는 말했습니다 브라이언 화이트 애널리스트는 투자자 노트에 악성 인플레이션에 시달리는 압도적인 경제 대담해진 화웨이 점증적인 업데이트만 있는 새로운 아이폰 제품군 스마트폰 시장의 성숙이 아이폰 트렌드에 암울한 그림을 그리고 있다고 썼습니다 그는 아이폰 15 사이클에 대해 208달러의 가격 목표를 가진 주식에 대해 매수 등급을 가지고 있지만 영감을 주지 않는다고 말했습니다 뱅크오브아메리카는 애플AAPL에 대해 주식 중립 등급을 매기지만 동일한 가격 목표를 제시하고 있습니다 회사 측은 매출과 주당 순이익 추정치가 바닥을 친 것으로 보고 있습니다 Wamsi Mohan이 이끄는 분석가들은 우리는 대규모 경기 침체를 막는 더 이상의 중대한 부정적인 수정을 기대하지 않는다고 썼습니다은행은 애플AAPL의 9월 제품 출시의 긍정적인 점이 소비자 수요 추세의 약화로 상쇄됐다며 중립 등급을 재차 강조했습니다 은행은 최근 데이터 포인트가 아이폰 15 시리즈의 가용성이 크게 향상되었음을 나타내며 지금까지 데이터는 아이폰 15 대 아이폰 14의 사이클이 약간 더 강했음을 시사한다고 말했습니다 Bank of America는 라이선스 서브스크립션 및 앱스토어가 9월 분기 대비 12 증가한 것으로 보고 있습니다 애플AAPL의 주가는 전년 대비 38 상승했습니다,"애플에게 불길한 시기가 다가오고 있습니까? 아니면 바닥을 치고 있습니까?분석가들의 의견이 다릅니다 Apple나스닥AAPL은 불길한 역풍에 직면해 있다고, Monness, Crrespi, Hardt는 전했습니다.하지만 뱅크 오브 아메리카는 이에 동의하지 않습니다. 11월 2일 1분기 실적을 발표할 예정인 이 거대 기술 기업은 더 엄격한 규제 조건에 직면해 있으며 지정학적 문제로 인해 부수적인 피해를 입을 위험이 있다고 하르트는 말했습니다. 브라이언 화이트 애널리스트는 투자자 노트에 악성 인플레이션에 시달리는 압도적인 경제, 대담해진 화웨이, 점증적인 업데이트만 있는 새로운 아이폰 제품군, 스마트폰 시장의 성숙이 아이폰 트렌드에 암울한 그림을 그리고 있다고 썼습니다. 그는 아이폰 15 사이클에 대해 208달러의 가격 목표를 가진 주식에 대해 매수 등급을 가지고 있지만 영감을 주지 않는다고 말했습니다. 뱅크오브아메리카는 애플AAPL에 대해 주식 중립 등급을 매기지만 동일한 가격 목표를 제시하고 있습니다. 회사 측은 매출과 주당 순이익 추정치가 바닥을 친 것으로 보고 있습니다. Wamsi Mohan이 이끄는 분석가들은 우리는 대규모 경기 침체를 막는 더 이상의 중대한 부정적인 수정을 기대하지 않는다고 썼습니다.은행은 애플AAPL의 9월 제품 출시의 긍정적인 점이 소비자 수요 추세의 약화로 상쇄됐다며 중립 등급을 재차 강조했습니다. 은행은 최근 데이터 포인트가 아이폰 15 시리즈의 가용성이 크게 향상되었음을 나타내며 지금까지 데이터는 아이폰 15 대 아이폰 14의 사이클이 약간 더 강했음을 시사한다고 말했습니다. Bank of America는 라이선스, 서브스크립션 및 앱스토어가 9월 분기 대비 12 증가한 것으로 보고 있습니다. 애플AAPL의 주가는 전년 대비 38 상승했습니다.",2023-10-24T00:18:09+09:00,0.3257,0.2623,0.4119,2
